pt1_X,pt1_Y,pt2_X,pt2_Y,pt3_X,pt3_Y,pt4_X,pt4_Y,pt5_X,pt5_Y
742.590000,905.410000,804.900000,896.870000,905.091258,892.009041,968.279286,892.197016,978.502994,890.469623
743.610000,906.340000,805.960000,896.780000,906.435254,891.261138,968.279286,897.073533,974.452848,895.687180
744.530000,907.200000,806.910000,896.830000,909.123246,890.139283,967.829892,898.198883,975.063381,897.598262
744.810000,908.090000,807.870000,896.920000,910.915240,889.391379,965.582921,901.950050,975.063381,897.598262
745.120000,908.990000,808.740000,897.070000,912.707235,888.269524,965.582921,902.700284,976.589713,899.254533
745.260000,909.760000,809.480000,897.260000,912.707235,888.269524,964.684133,902.700284,976.589713,899.254533
745.430000,910.220000,809.720000,897.570000,914.051231,885.651862,964.234738,901.950050,976.589713,899.254533
745.970000,910.610000,809.930000,898.010000,915.395227,883.782103,964.234738,897.073533,976.589713,898.872316
746.020000,910.580000,810.010000,898.280000,915.395227,883.408151,964.234738,896.323300,976.742346,897.980478
746.000000,910.480000,810.080000,898.760000,915.395227,882.660248,965.582921,895.197950,977.352879,897.088640
746.030000,910.160000,810.140000,898.970000,915.395227,881.538392,969.178075,893.322366,977.810779,896.324208
