eye_X,eye_Y,eye_Z,snout_X,snout_Y,snout_Z,peduncle_X,peduncle_Y,peduncle_Z,dorsaltip_X,dorsaltip_Y,dorsaltip_Z,analtip_X,analtip_Y,analtip_Z,caudaltip_X,caudaltip_Y,caudaltip_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z
0.452963,5.457459,4.771834,0.172326,5.957529,5.011432,7.177249,4.830103,1.730349,7.203012,4.442454,2.371579,7.632353,5.185758,1.341483,8.737659,5.954462,2.054786,1.402723,4.942238,3.052892,1.139626,5.450892,3.803315,1.29225,6.025946,3.857518,1.51832,6.734335,3.117122,5.51186,4.400973,1.278107,4.935961,4.411477,1.673634,5.512985,4.818084,1.344767,5.03078,4.675761,1.718593
0.449001,5.46244,4.777547,0.173675,5.957795,5.011351,7.17329,4.830118,1.730185,7.20488,4.419333,2.370237,7.634158,5.173409,1.344712,8.746167,5.928839,2.04221,1.364235,4.962055,3.102599,1.139717,5.473086,3.804404,1.29225,6.025946,3.857518,1.492228,6.734991,3.09779,5.496471,4.400932,1.278708,4.935961,4.411477,1.673634,5.507106,4.840925,1.356753,5.019644,4.675959,1.717917
0.447349,5.460024,4.779447,0.175134,5.957464,5.016705,7.167269,4.807004,1.726222,7.20488,4.419333,2.370237,7.637466,5.159893,1.345663,8.754197,5.908976,2.034391,1.303131,4.954283,3.242704,1.139985,5.472816,3.809591,1.292287,6.037032,3.858059,1.492393,6.846801,3.104113,5.496471,4.400932,1.278708,4.930378,4.411585,1.673292,5.504129,4.852579,1.357403,5.019644,4.675959,1.717917
0.446541,5.459373,4.783702,0.176516,5.956394,5.027499,7.160559,4.789429,1.726377,7.198043,4.384511,2.373334,7.641485,5.146724,1.348277,8.778275,5.87379,2.031646,1.264235,4.963318,3.28121,1.14003,5.483912,3.810135,1.292287,6.037032,3.858059,1.501804,6.895975,3.05754,5.496091,4.424206,1.280349,4.922726,4.411532,1.673612,5.503752,4.875812,1.359031,5.016861,4.676009,1.717749
0.446895,5.456479,4.787456,0.177283,5.953886,5.032814,7.140554,4.795377,1.728019,7.189062,4.384369,2.37847,7.645295,5.13038,1.347696,8.802763,5.861876,2.030453,1.118792,4.972525,3.172644,1.137315,5.484052,3.80993,1.292325,6.048117,3.8586,1.558495,6.935387,3.02583,5.493292,4.424245,1.28018,4.922726,4.411532,1.673612,5.498178,4.875888,1.358703,5.016861,4.676009,1.717749
0.44741,5.452157,4.7938,0.178106,5.948968,5.038032,7.138555,4.795485,1.72565,7.189288,4.372617,2.382767,7.649671,5.111687,1.346366,8.818818,5.838411,2.028651,1.049626,4.980919,3.051505,1.137315,5.484052,3.80993,1.292325,6.048117,3.8586,1.527582,6.928389,3.04899,5.493292,4.424245,1.28018,4.915074,4.41148,1.673935,5.498178,4.875888,1.358703,5.0167,4.687562,1.71852
0.448188,5.44799,4.801028,0.177462,5.93902,5.037691,7.138474,4.772195,1.724682,7.189288,4.372617,2.382767,7.630763,5.162058,1.346165,8.844886,5.826597,2.030132,0.982247,5.005704,2.976136,1.137851,5.483511,3.820301,1.292325,6.048117,3.8586,1.542134,6.89444,3.112427,5.493292,4.424245,1.28018,4.912283,4.411534,1.673763,5.498217,4.87565,1.364044,5.016379,4.710666,1.720062
0.448802,5.445659,4.807422,0.177008,5.92955,5.037355,7.138743,4.763269,1.724966,7.18919,4.372226,2.392749,7.631219,5.138694,1.343991,8.87354,5.756399,2.027519,0.952529,5.009028,2.931587,1.137851,5.483511,3.820301,1.292325,6.048117,3.8586,1.539696,6.871083,3.154563,5.490492,4.424284,1.280012,4.912283,4.411534,1.673763,5.49543,4.875688,1.36388,5.016218,4.722218,1.720833
0.4492,5.439812,4.814446,0.176639,5.916734,5.036884,7.138801,4.751621,1.725054,7.189464,4.360671,2.392056,7.631458,5.123314,1.342009,8.893314,5.732581,2.03282,0.883374,5.015161,2.853288,1.137851,5.483511,3.820301,1.292325,6.048117,3.8586,1.554397,6.848997,3.185921,5.490492,4.424284,1.280012,4.912283,4.411534,1.673763,5.49543,4.875688,1.36388,5.016218,4.722218,1.720833
0.450642,5.434165,4.821769,0.176387,5.904526,5.036428,7.138448,4.74985,1.726138,7.189464,4.360671,2.392056,7.633712,5.106372,1.340698,8.906494,5.708837,2.039111,0.758391,5.017847,2.805302,1.132688,5.483521,3.825077,1.284221,6.048511,3.857987,1.528942,6.792058,3.217214,5.490492,4.424284,1.280012,4.912283,4.411534,1.673763,5.49543,4.875688,1.36388,5.016218,4.722218,1.720833
0.45241,5.428458,4.829078,0.175643,5.891557,5.035977,7.131271,4.735428,1.726031,7.186008,4.337393,2.395517,7.634969,5.090343,1.34017,8.920663,5.687633,2.043629,0.676412,5.02166,2.770155,1.132688,5.483521,3.825077,1.279596,6.047859,3.87304,1.52038,6.733321,3.265119,5.490492,4.424284,1.280012,4.912283,4.411534,1.673763,5.495507,4.875212,1.37456,5.019001,4.722168,1.721001
